-9,5; -10
-9,0; -9,5
-8,5; -9
-8,0; -8,5
-7,5; -8
-7,0; -7,5
-6,5; -7
-6,0; -6,5
-5,5; -6
-5,0; -5,5
-4,5; -5
-4,0; -4,5
-3,5; -4
-3,0; -3,5
-2,5; -3
-2,0; -2,5
-1,5; -2
-1,0; -1,5
-0,5; -1
0,0; -0,5
0,5; 0
1,0; 0,5
1,5; 1
2,0; 1,5
2,5; 2
3,0; 2,5
3,5; 3
4,0; 3,5
4,5; 4
5,0; 4,5
5,5; 5
6,0; 5,5
6,5; 6
7,0; 6,5
7,5; 7
8,0; 7,5
8,5; 8
9,0; 8,5
9,5; 9
10,0; 9,5
10,5; 10
11,0; 10,5
11,5; 11
12,0; 11,5
12,5; 12
13,0; 12,5
13,5; 13
14,0; 13,5
14,5; 14
15,0; 14,5
15,5; 15
16,0; 15,5
16,5; 16
17,0; 16,5
17,5; 17
18,0; 17,5
18,5; 18
19,0; 18,5
19,5; 19
20,0; 19,5
20,5; 20
21,0; 20,5
21,5; 21
22,0; 21,5
22,5; 22
23,0; 22,5
23,5; 23
24,0; 23,5
24,5; 24
25,0; 24,5
25,5; 25
